2019-11-06 10:33:51.514	{4345; 126.8804}
2019-11-06 10:33:51.639	{4381; 126.8804}
2019-11-06 10:33:51.639	{4381; 127.3775}
2019-11-06 10:33:51.702	{4413; 127.3775}
2019-11-06 10:33:51.702	{4413; 127.9149}
2019-11-06 10:33:51.827	{4443; 127.9149}
2019-11-06 10:33:51.827	{4443; 128.604}
2019-11-06 10:33:51.952	{4472; 128.604}
2019-11-06 10:33:51.952	{4472; 129.339}
2019-11-06 10:33:52.014	{4497; 129.339}
2019-11-06 10:33:52.014	{4497; 130.1352}
2019-11-06 10:33:52.139	{4521; 130.1352}
2019-11-06 10:33:52.139	{4521; 130.9312}
2019-11-06 10:33:52.202	{4544; 130.9312}
2019-11-06 10:33:52.202	{4544; 131.6754}
2019-11-06 10:33:52.327	{4565; 131.6754}
2019-11-06 10:33:52.327	{4565; 132.3259}
2019-11-06 10:33:52.452	{4585; 132.3259}
2019-11-06 10:33:52.452	{4585; 132.9124}
2019-11-06 10:33:52.514	{4607; 132.9124}
2019-11-06 10:33:52.514	{4607; 133.4149}
2019-11-06 10:33:52.639	{4633; 133.4149}
2019-11-06 10:33:52.639	{4633; 133.8801}
2019-11-06 10:33:52.702	{4662; 133.8801}
2019-11-06 10:33:52.702	{4662; 134.3221}
2019-11-06 10:33:52.827	{4696; 134.3221}
2019-11-06 10:33:52.827	{4696; 134.8013}
2019-11-06 10:33:52.952	{4734; 134.8013}
2019-11-06 10:33:52.952	{4734; 135.2765}
2019-11-06 10:33:53.014	{4776; 135.2765}
2019-11-06 10:33:53.014	{4776; 135.8727}
2019-11-06 10:33:53.139	{4821; 135.8727}
2019-11-06 10:33:53.139	{4821; 136.5914}
2019-11-06 10:33:53.202	{4868; 136.5914}
2019-11-06 10:33:53.202	{4868; 137.3449}
2019-11-06 10:33:53.327	{4914; 137.3449}
2019-11-06 10:33:53.327	{4914; 138.1665}
2019-11-06 10:33:53.452	{4958; 138.1665}
2019-11-06 10:33:53.452	{4958; 138.9804}
2019-11-06 10:33:53.514	{5000; 138.9804}
2019-11-06 10:33:53.514	{5000; 139.7851}
2019-11-06 10:33:53.639	{5040; 139.7851}
2019-11-06 10:33:53.639	{5040; 140.5496}
